id,catalog_lamps_id,etm_code,oracl_code,short_box_name_wms,catalog_1c,box_name,description,comments,is_active,archived_at,created_at,updated_at
1,1343,LINE1132,1669705,LADLEDL1015B,15Лайн-10 черный,ДБП-15w IP66 1751Лм 5000К 10° BLACK,"Светильник светодиодный LAD LED LINE-10-15B 15Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса черный LADesign LADLEDL1015B",1750706,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
2,1349,LINE1128,1423213,LADLEDL1015S,15Лайн-10 серебро,ДБП-15w IP66 1751Лм 5000К 10° SILVER,"Светильник светодиодный LAD LED LINE-10-15S 15Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса серебро LADesign LADLEDL1015S",4498520,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
3,1331,LINE1142,1423224,LADLEDL1025B,25Лайн-10 черный,ДБП-25w IP66 2918Лм 5000К 10° BLACK,"Светильник светодиодный LAD LED LINE-10-25B 25Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса черный LADesign LADLEDL1025B",1440043,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
4,1337,LINE1137,1423219,LADLEDL1025S,25Лайн-10 серебро,ДБП-25w IP66 2918Лм 5000К 10° SILVER,"Светильник светодиодный LAD LED LINE-10-25S 25Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса серебро LADesign LADLEDL1025S",3622735,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
5,1319,LINE1151,1423234,LADLEDL1040B,40Лайн-10 черный,ДБП-40w IP66 4668Лм 5000К 10° BLACK,"Светильник светодиодный LAD LED LINE-10-40B 40Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса черный LADesign LADLEDL1040B",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
6,1325,LINE1147,1423229,LADLEDL1040S,40Лайн-10 серебро,ДБП-40w IP66 4668Лм 5000К 10° SILVER,"Светильник светодиодный LAD LED LINE-10-40S 40Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса серебро LADesign LADLEDL1040S",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
7,1307,LINE1161,1423239,LADLEDL1060B,60Лайн-10 черный,ДБП-60w IP66 7002Лм 5000К 10° BLACK,"Светильник светодиодный LAD LED LINE-10-60B 60Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса черный LADesign LADLEDL1060B",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
8,1313,LINE1156,1423235,LADLEDL1060S,60Лайн-10 серебро,ДБП-60w IP66 7002Лм 5000К 10° SILVER,"Светильник светодиодный LAD LED LINE-10-60S 60Вт 5000К IP66 230В КСС типа ""К"" цвет корпуса серебро LADesign LADLEDL1060S",,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
9,1340,LINE1136,1423217,LADLEDLLS15B,15Лайн-120 черный,ДБП-15w IP66 1751Лм 5000К 120° BLACK,"Светильник светодиодный LAD LED LINE-120-15B 15Вт 5000К IP66 230В КСС типа ""Д"" цвет корпуса черный LADesign LADLEDLLS15B",5846718,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
10,1346,LINE1131,1423216,LADLEDLLS15S,15Лайн-120 серебро,ДБП-15w IP66 1751Лм 5000К 120° SILVER,"Светильник светодиодный LAD LED LINE-120-15S 15Вт 5000К IP66 230В КСС типа ""Д"" цвет корпуса серебро LADesign LADLEDLLS15S",7443969,true,,2025-01-26 23:14:47+00,2025-01-26 23:14:47+00
