id,series,category_name,mounting_type_id,is_default,created_at,updated_at
17,LAD LED R500,LAD LED R500-1,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
18,LAD LED R500,LAD LED R500-2,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
19,LAD LED R500,LAD LED R500-3,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
20,LAD LED R500,LAD LED R500-1,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
21,LAD LED R500,LAD LED R500-2,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
22,LAD LED R500,LAD LED R500-3,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
23,LAD LED R500,LAD LED R500-1,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
24,LAD LED R500,LAD LED R500-2,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
25,LAD LED R500,LAD LED R500-3,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
26,LAD LED R500,LAD LED R500-4,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
27,LAD LED R500,LAD LED R500-5,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
28,LAD LED R500,LAD LED R500-6,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
29,LAD LED R500,LAD LED R500-7,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
30,LAD LED R500,LAD LED R500-8,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
31,LAD LED R500,LAD LED R500-9,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
32,LAD LED R500,LAD LED R500-10,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
33,LAD LED R500,LAD LED R500-12,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
34,LAD LED R500,LAD LED R500-14,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
35,LAD LED R500,LAD LED R500-1,37,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
36,LAD LED R500,LAD LED R500-2,37,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
37,LAD LED R500,LAD LED R500-3,37,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
38,LAD LED R500,LAD LED R500-4,37,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
39,LAD LED R500,LAD LED R500-1,38,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
40,LAD LED R500,LAD LED R500-2,38,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
41,LAD LED R500,LAD LED R500-3,38,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
42,LAD LED R500,LAD LED R500-4,38,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
43,LAD LED R500 LZD,LAD LED R500-3 LZD,36,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
44,LAD LED R500 LZD,LAD LED R500-4 LZD,36,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
45,LAD LED R500 LZD,LAD LED R500-9 LZD,36,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
46,LAD LED R500 LZD,LAD LED R500-12 LZD,36,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
47,LAD LED R500 ZD,LAD LED R500-2 ZD,45,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
48,LAD LED R500 ZD,LAD LED R500-3 ZD,45,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
49,LAD LED R500 2Ex,LAD LED R500-1 2Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
50,LAD LED R500 2Ex,LAD LED R500-2 2Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
51,LAD LED R500 2Ex,LAD LED R500-3 2Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
52,LAD LED R500 2Ex,LAD LED R500-1 2Ex,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
53,LAD LED R500 2Ex,LAD LED R500-2 2Ex,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
54,LAD LED R500 2Ex,LAD LED R500-3 2Ex,35,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
55,LAD LED R500 2Ex,LAD LED R500-1 2Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
56,LAD LED R500 2Ex,LAD LED R500-2 2Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
57,LAD LED R500 2Ex,LAD LED R500-3 2Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
58,LAD LED R500 2Ex,LAD LED R500-4 2Ex,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
59,LAD LED R320 Ex,LAD LED R320-1 Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
60,LAD LED R320 Ex,LAD LED R320-2 Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
61,LAD LED R320 Ex,LAD LED R320-3 Ex,34,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
62,LAD LED R320 Ex,LAD LED R320-1 Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
63,LAD LED R320 Ex,LAD LED R320-2 Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
64,LAD LED R320 Ex,LAD LED R320-3 Ex,47,false,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
65,LAD LED R320 Ex,LAD LED R320-4 Ex,38,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
66,LAD LED LINE,LAD LED LINE-15,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
67,LAD LED LINE,LAD LED LINE-25,47,true,2025-05-13 00:07:29.306175+00,2025-05-13 00:07:29.306175+00
