id,name,mark,description,image_url,url,created_at,updated_at
34,консольное,LAD LED K,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
35,регулируемая консоль,LAD LED KR,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
36,П-образная лира,LAD LED L,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
37,П-образная лира для установки на трос через рым-болт,LAD LED LEB,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
38,П-образная лира для установки на тросе,LAD LED LC,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
39,крепление на цепях по спецзаказу,LAD LED LCH,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
40,крепление на цепях по спецзаказу LCH1,LAD LED LCH1,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
41,карабин,LAD LED LCB,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
42,вертикальная лира по спецзаказу,LAD LED VL,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
43,косая лира по спецзаказу,LAD LED KL,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
44,двутавр по спецзаказу,LAD LED 7UKL,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
45,крепление на жесткую поперечину,LAD LED ZD,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
46,крепление дюбель-гвоздь,LAD LED DG,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
47,П-образная лира для установки на стене,LAD LED L-WALL,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
48,П-образная лира для установки на потолок,LAD LED L-CEILING,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
49,крепление на рым-болт,LAD LED RB,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
50,накладной корпус,NL Nova N,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
51,установка на тросе по спецзаказу,NL Nova NT,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
52,встриваемый корпус,NL Nova V,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
53,накладной корпус NL VEGA,NL VEGA N,,,https://ladzavod.ru/download/katalog-kreplenij,2025-05-13 00:07:29.306175+00,2025-11-23 23:19:48.64043+00
