id,name,url,image_url,group_name,sphere_name
1,Обустройство социально-бытовых объектов ПАО «ГМК «Норильский никель»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/obustrojstvo-socialno-bytovyh-obektov-pao-gmk-norilskij-nikel,https://ladzavod.ru/storage/app/uploads/public/67a/176/c15/67a176c15ff9b479708059.png,Производственные площадки и АКБ,Промышленное освещение
2,Освещение установки комплексной подготовки газа (УКПГ) «Коптевская». ООО «ННК-Саратовнефтегаздобыча»,https://ladzavod.ru/portfolio/neftegazovyj-kompleks-i-vzryvozashchishchennoe-oborudovanie/osveshchenie-ustanovki-kompleksnoj-podgotovki-gaza-ukpg-koptevskaya-ooo-nnk-saratovneftegazdobycha,https://ladzavod.ru/storage/app/uploads/public/67a/19c/f30/67a19cf30c2e9873375640.jpg,Нефтегазовый комплекс и взрывозащищенное оборудование,Взрывозащищенное оборудование
3,Строящийся склад хранения сыпучих ингредиентов ООО «Фабрика настоящего мороженого» ЗАО «Кореновский молочно-консервный комбинат» (ЗАО «КМКК») ТМ Коровкаиз Кореновки,https://ladzavod.ru/portfolio/osveshchenie-skladskih-prostranstv/stroyashchijsya-sklad-hraneniya-sypuchih-ingredientov-ooo-fabrika-nastoyashchego-morozhenogo-zao-korenovskij-molochno-konservnyj-kombinat-zao-kmkk-tm-korovkaiz-korenovki,https://ladzavod.ru/storage/app/uploads/public/67a/421/1b2/67a4211b2f48d720287829.jpg,Освещение складских пространств,Складские помещения
4,Освещение производственных площадей и прилегающих территорий ПАО «Магнитогорский металлургический комбинат» (ПАО «ММК»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/osveshchenie-proizvodstvennyh-ploshchadej-i-prilegayushchih-territorij-pao-magnitogorskij-metallurgicheskij-kombinat-pao-mmk,https://ladzavod.ru/storage/app/uploads/public/67a/b59/240/67ab59240b864626845362.jpg,Производственные площадки и АКБ,Промышленное освещение
5,Наружное и цеховое освещение. Ракетно-космическая корпорация «Энергия» им. С.П. Королёва,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/naruzhnoe-i-cehovoe-osveshchenie-raketno-kosmicheskaya-korporaciya-energiya-im-sp-korolyova,https://ladzavod.ru/storage/app/uploads/public/67a/b5a/262/67ab5a26265b5448347582.jpg,Производственные площадки и АКБ,Промышленное освещение
6,Поэтапная замена существующего освещения в цехах ПАО «Новолипецкий металлургический комбинат» (ПАО «НЛМК»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/poetapnaya-zamena-sushchestvuyushchego-osveshcheniya-v-cehah-pao-novolipeckij-metallurgicheskij-kombinat-pao-nlmk,https://ladzavod.ru/storage/app/uploads/public/67a/b5a/fe7/67ab5afe755f4738854623.jpg,Производственные площадки и АКБ,Тяжелые условия эксплуатации
7,"Инвест проект по техническому перевооружению Доменных печей №1, №2 и №5 ПАО «Северсталь»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/invest-proekt-po-tehnicheskomu-perevooruzheniyu-domennyh-pechej-1-2-i-5-pao-severstal,https://ladzavod.ru/storage/app/uploads/public/67a/dc3/ba1/67adc3ba10788540737798.jpg,Производственные площадки и АКБ,Промышленное освещение
8,Поэтапная замена существующего освещения в цехах ПАО «Новолипецкий металлургический комбинат» (ПАО «НЛМК»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/poetapnaya-zamena-sushchestvuyushchego-osveshcheniya-v-cehah-pao-novolipeckij-metallurgicheskij-kombinat-pao-nlmk,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/13d/67adc413d9120938522730.jpg,Производственные площадки и АКБ,Промышленное освещение
9,Мачтовое освещение территории ООО «Тихвинский ферохромный Завод» (ООО «ТФЗ»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/machtovoe-osveshchenie-territorii-ooo-tihvinskij-ferohromnyj-zavod-ooo-tfz,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/417/67adc441724bb245502220.jpg,Производственные площадки и АКБ,Промышленное освещение
10,Мощные светильники для ООО «Вагоноремонтное предприятие «Новотранс»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/moshchnye-svetilniki-dlya-ooo-vagonoremontnoe-predpriyatie-novotrans,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/5ae/67adc45aebf6a231633046.jpg,Производственные площадки и АКБ,Промышленное освещение
11,Освещение отвала фосфогипса. Промышленная площадка Балаковского филиала АО «Апатит»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/osveshchenie-otvala-fosfogipsa-promyshlennaya-ploshchadka-balakovskogo-filiala-ao-apatit,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/733/67adc4733058f946442081.jpg,Производственные площадки и АКБ,Промышленное освещение
12,Цех металлообработки ООО «Уфагидромаш»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/ceh-metalloobrabotki-ooo-ufagidromash,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/8c5/67adc48c52bcb193711612.jpg,Производственные площадки и АКБ,Промышленное освещение
13,Угольные разрезы АО УК «Кузбассразрезуголь»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/ugolnye-razrezy-ao-uk-kuzbassrazrezugol,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/a3b/67adc4a3b3b29834632653.jpg,Производственные площадки и АКБ,Промышленное освещение
14,Завод химических удобрений ООО «Инвестхимагро»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/zavod-himicheskih-udobrenij-ooo-investhimagro,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/bee/67adc4beecb05329407532.jpg,Производственные площадки и АКБ,Промышленное освещение
15,Промышленное освещение АО «Эй Джи Си Борский стекольный завод»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/promyshlennoe-osveshchenie-ao-ej-dzhi-si-borskij-stekolnyj-zavod,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/dc1/67adc4dc15f8d398173534.jpg,Производственные площадки и АКБ,Промышленное освещение
16,"Реконструкция освещения завод «ЯрПиво», ООО «Пивоваренная компания «Балтика»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/rekonstrukciya-osveshcheniya-zavod-yarpivo-ooo-pivovarennaya-kompaniya-baltika,https://ladzavod.ru/storage/app/uploads/public/67a/dc4/fba/67adc4fbae7de347386158.jpg,Производственные площадки и АКБ,Промышленное освещение
17,"Освещение производственных помещений, складов, наружное в том числе КПП. Завод по производству зерновых (висковых) дистилятов с спиртохранилищем ОАО «Ариант спиритс»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/osveshchenie-proizvodstvennyh-pomeshchenij-skladov-naruzhnoe-v-tom-chisle-kpp-zavod-po-proizvodstvu-zernovyh-viskovyh-distilyatov-s-spirtohranilishchem-oao-ariant-spirits,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/146/67adc5146eb3a766294825.jpg,Производственные площадки и АКБ,Промышленное освещение
18,Строительство цеха хранения и переработки ООО «Грин Рэй Кубань» (Green Ray),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/stroitelstvo-ceha-hraneniya-i-pererabotki-ooo-grin-rej-kuban-green-ray,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/335/67adc53352e13512725578.jpg,Производственные площадки и АКБ,Промышленное освещение
19,Наружное освещение мокрой газоочистки ПАО «Косогорский Металлургический Завод» (ПАО «КМЗ»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/naruzhnoe-osveshchenie-mokroj-gazoochistki-pao-kosogorskij-metallurgicheskij-zavod-pao-kmz,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/689/67adc56897226996309878.jpg,Производственные площадки и АКБ,Промышленное освещение
20,Строительство содового завода АО «Новотроицкий завод хромовых соединений» (АО «НЗХС»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/stroitelstvo-sodovogo-zavoda-ao-novotroickij-zavod-hromovyh-soedinenij-ao-nzhs,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/7f2/67adc57f2d9b5349507368.png,Производственные площадки и АКБ,Промышленное освещение
21,Завод монтажной пены ООО «Люксполихим»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/zavod-montazhnoj-peny-ooo-lyukspolihim,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/996/67adc5996ee0e967229723.png,Производственные площадки и АКБ,Промышленное освещение
22,Поэтапная замена существующего освещения в цехах ПАО «Новолипецкий металлургический комбинат» (ПАО «НЛМК»),https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/poetapnaya-zamena-sushchestvuyushchego-osveshcheniya-v-cehah-pao-novolipeckij-metallurgicheskij-kombinat-pao-nlmk,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/b1a/67adc5b1a62ee658944311.png,Производственные площадки и АКБ,Промышленное освещение
23,Модернизация системы освещения приборами высокой мощности на территории разреза «Пермяковский»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/modernizaciya-sistemy-osveshcheniya-priborami-vysokoj-moshchnosti-na-territorii-razreza-permyakovskij,https://ladzavod.ru/storage/app/uploads/public/67a/dc5/f88/67adc5f88effd486663177.png,Производственные площадки и АКБ,Промышленное освещение
24,Модернизация турбоагрегатов ТЭЦ-9 ПАО «Т Плюс»,https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/modernizaciya-turboagregatov-tec-9-pao-t-plyus,https://ladzavod.ru/storage/app/uploads/public/67a/dc6/179/67adc6179f267482478976.png,Производственные площадки и АКБ,Промышленное освещение
25,"Реконструкция внутреннего и наружного освещения «Курская АЭС-1», Филиал АО «Концерн Росэнергоатом»",https://ladzavod.ru/portfolio/proizvodstvennye-ploshchadki-i-akb/rekonstrukciya-vnutrennego-i-naruzhnogo-osveshcheniya-kurskaya-aes-1-filial-ao-koncern-rosenergoatom,https://ladzavod.ru/storage/app/uploads/public/67a/dc6/2c6/67adc62c6662d625943039.png,Производственные площадки и АКБ,Промышленное освещение
